en_text,labels
Unfortunately many parts were bombed during the hard battle of Hue.,all-2 ch-2
We were not that impressed with the Imperial City- the best part was the introductory video explaining what the buildings were used for.,all-3 amn-1
Marvellous buildings and very well kept gardens (February visit).,all-1 ch-1 nat-1 mgt-1
This is a very beautiful place to visit with its history.,all-1 ch-1
The food at the lovely restaurant we stopped at for lunch was good too.,all-1 amn-1
"Amazing place right in the middle of a bustling mid size Vietnamese City, awesome food, hotels and bars!",all-1 amn-1
There's a few performances on throughout the day (free).,all-1 amn-1
We did a free walking tour with three wonderful Students who guided us through the old quarter to here.,all-1 ppl-1
On a sunny day it must be magnificent.,all-1
"Probably it's true, but I doubt that Americans deliberately planted grass in the gutters of the Citadel.",all-2 nat-2 mgt-2
A good Car service is from Vina Hotel Hue,all-1 amn-1
However it is completely crowded with tourists and many buildings are just destroyed after the war.,all-2 ch-2
Vietnamese history is very fascinating and it we really enjoyed the tour.,all-1 ch-1
To top it all off most of them are completely empty!,all-2
Many constructions were in ruins due to Bomb in the air from US army.,all-2 ch-2
Not the best unisco world heritage site.,all-2 ch-2
Disgusting toilets here & no paper.,all-2 mgt-2
"The palace is somewhat small, as the building are all rebuilt to resembles the original structure, looks too good order to be a 600 year old historical site.",all-3 ch-3
"There's plenty to see, unfortunately the Citadel has been ravaged by the war, & after viewing the tombs you realize what this must have been like before being shelled & bombed.",all-3 ch-2
A wonderful morning spend in the Imperial City.,all-1
The place was bombed into the dust to dislodge the Viet Cong and I can only imagine what works of splendour where destroyed.,all-2 ch-2
"Behind the reconstructed buildings were remains of what could not be salvaged, most of which were blackened with napalm and riddled with bullet holes.",all-3 mgt-1 ch-2
Sadly recent 20th Century conflicts have destroyed or damaged the bulk of this significant historic land mark.,all-3 ch-3
"For the Secret Garden tour, I would not suggest those with walking problems, with toddlers who won't walk, pushing strollers or wheelchairs because the slopes are steep and there are a fair bit of stairs to walk.",all-2 mgt-2
We were really disappointed with the main attraction in Hue.,all-2
The guide gave excellent explanations in good English.,all-1 amn-1 ppl-1
"Fantastic that you can wander around freely almost everywhere, very few areas are closed.",all-1
We came to the Imperial City with our two young children (aged 2 & 4) and had a great day.,all-1
"we do not like the way to visit the Imperial City, it is too far from the bus stop to Ngo Mon (noon gate / or main entrance), some of the old visitors could not walk from the bus to the inside of Imperial city..(the buggy car is to expensive for 1 or 2 people to have a private one.",all-2 amn-2 mgt-2
"The Citadel is filled with history and so much beauty, the buildings are breathtaking and the gardens lovely.",all-1 ch-1 nat-1
We stayed in Vietnam for nearly 4 weeks and this was our poorest city experience.,all-2
"An outer wall 2,5 km square and three inner walls - all massively( 3 metres) thick and only one narrow entrance arch on each side, There was horrendous carnage / casualties here during Vietnam War and you can see why the place was so hard to attack.",all-2 ch-2
"They are not polite, rude and not friendly at all.",all-2 ppl-2
I spent about 5 hours wandering around the inner and outer court before exploring the palace itself and the secret gardens.,all-0
Also you can still see the senseless destructive power of war.,all-2 ch-2
"Torn up ruins with very few signs to give context or explanation, a waste of time without a guide.",all-2 ch-2 mgt-2
I have gone to the palaces every season except winter and spring is best for the garden but fall could come in a very close seconds.,all-0
You can still see the footprints of ancient time.,all-1 ch-1
One of the attraction that will be recommended to you when you visit Seoul... A lot of walking and kind of viewing a lot of empty rooms..,all-3 ch-2
"When you purchase an entry ticket, you can also purchase the service of a guide- 150000 dong",all-1 amn-1
I didn't and it got HOT with few places to buy refreshments from.,all-2 amn-2 nat-2
"The whole park is quite big and includes ponds and many tress, some of which seemed very old.",all-1 ch-1
fishfood is for sale cheaply and they are quite spectacular.,all-1 amn-1
"Watch the free video, as it's really useful info, plus a chance to sit in the cool.",all-1 amn-1
"They are similar in many ways - well-preserved, beautiful, with extensive grounds and many buildings to explore - but Changdeokgung has much larger grounds, which you can tour if you have a special ticket.",all-1 mgt-1 ch-1
"Used as the seat of power until the 1880s, when the French government gained control, the Nguyen Dynasty continued here with its ""symbolic traditions"" as the cultural and religious center until 1945.",all-1 ch-1
The tickets sell out quickly so it is worth prebooking on-line.,all-1
The palace was loved more than any other palace by the kings of Joseon Dynasty because of the spacious and beautiful garden at the back.,all-1 nat-1
"Unfortunately, the Citadel was also a pitiless reminder of war.",all-2 ch-2
Just sad to think that it stood almost intact into the 1960-70's until the bombings of the French and American war pretty much destroyed it.,all-2 ch-2
Stunning palace and very ornate.,all-1 ch-1
"The Imperial City is a walled fortress and palace surrounded by a wall 2 kilometers by 2 kilometers, and a moat that has water taken from the Huong River (Perfume River) that flows through Huế.",all-0
"Absolutely stinking hot there today, even at 8am.",all-2 nat-2
"What remains is sadly run down, in very poor condition, poorly restored, and poorly presented by an uncaring, uninterested staff.",all-2 amn-2 mgt-2 ppl-2
We asked a tour guide who informed us of this.,all-0
"My friend and I thought that this palace was closed, but because of their celebration of experiencing to meet the palaces (Sorry I forgot the terms), we were able to see a different attraction since South Korea has a lot of palaces.",all-1
The Imperial City was an amazing experience for me.,all-1
We would recommend at least 3-4 hour visit to enjoy this fantastic place.,all-1
"Besides gilded throne hall, the place is redwood ad nauseam.",all-2 ch-2
With our guide we discovered this an exceptionally intriguing spot to visit.,all-1 amn-1 ppl-1
When we toured the Citadel it was in the middle of a major rainstorm and it was not the most pleasant experience.,all-2 nat-2
"take your time visiting the palace and the secret garden, and don't forget to visit Changgyeonggung, which located right next to Changdeokgung",all-1 nat-1
There were some hills involved so be wary if you have trouble walking on inclines.,all-2
"Yes, some lovely buildings etc etc but, not very good upkeep which is a shame.",all-3 ch-3 mgt-2
"Times:

Small one: 10:00 and 12:00
Big one 11:00 and 14:00

Cost incide is 3000 won .... but if you wears traditional outfit you can walk in for free.",all-1 amn-1
I was expecting good of this palace.,all-2
"Beware the ""son"" of the quaint cafe owner outside the citadel gate offering you a motorcycle ride over the Hi Van pass.",all-2 amn-2 ppl-2
Take good walking shoes and go off road.,all-0
It has an awful lot of history there and it is a shame that the US bombed so much of the place in the war.,all-3 ch-3
"Once in there either choose an audio guide, or go it alone, I took a photo of the big map which helped us get around.",all-1 amn-1
It's hard to describe inside as it has the potential to be super beautiful like places in Kyoto which is what they are aiming for but at the moment the grass is over grown and it needs some TLC.,all-3 mgt-3 nat-2
Also the outer walls surrounds the old city of Hue as vehicles goes in and out through out the day.,all-0
"Beautiful photo opportunities, lovely walk, stunning architecture, history.",all-1 ch-1
It's a very gorgeous place!!!,all-1
"The extra 5000 won for the garden is worth it, and going on a tour helps you get the most out of the experience.",all-1 nat-1
It was extremely upsetting to see such animal cruelty.,all-2 mgt-2
The scenery is very beautiful.,all-1 nat-1
"Unfortunately a large number of buidings have been destroyed due to typhoons or the Vietnam War, but now are being restored.",all-3 ch-2 mgt-1
"l recommend the small extra amount for the ""Secret Garden"" guided tour, although be prepared for a lot of walking.",all-3 amn-1 nat-1
Very fun and a great way to spend an afternoon in Hue.,all-1
"As a european, I learned a lot of the buildings, and culture, thanks to the signs written in English",all-1 ch-1 mgt-1
We made a fundamental error at this point - we did not negotiate a fixed price for the service offered.,all-2 amn-2
"They don´t speak, they push you and signalize.There is not much left after fires, wars and careless governments and it is going to be worse since there is nobody taking care of the
temples, palaces and houses.",all-2 ppl-2 ch-2 mgt-2
This was my favorite place and there was a little garden / goldfish pond beside the building.,all-1 nat-1
You could take a electric cart or a horse buggy ride if the walking in the sun was too hot.,all-3 amn-1 nat-2
There is free English guided tour or the palace (check their website for the tour schedule).,all-1 amn-1
The old Purple Forbidden City is now nothing but a wide expance of grass with little remaining to show its former glory.,all-2 ch-2
"Strolling through the complex is amazing, with it's well preserved building and the tranquil feeling is awesome!",all-1 ch-1 mgt-1
For the biggest part this part of the Citadel is destroyed and walking around was not very special.,all-2 ch-2
Also check out the secret garden!,all-1 nat-1
The photo exhibits throughout were great too!,all-1 ch-1
"If you feel the need for a guide, there are plenty willing to offer their services at the Citadel.",all-1 amn-1
Suggest you start this tour very early by lunch time it is getting too hot & there's very little shade.,all-2 nat-2 mgt-2
Sadly many parts were destroyed in the war so not all the buildings can be seen.,all-2 ch-2
I feel that once you have seen one Korean palace... you have seen them all.,all-2
"Although the weather when I visited the citadel was hot and sunny, I still loved the experience!",all-3 nat-2
The Forbidden City is inside the Imperial Citadel.,all-0
Such shame they should feel for all the bombs here a d in Laos.,all-2 ch-2
"It is beautiful and old, but I would say not very well kept, maybe because of its ground coverage. what I loved most about this place was the beautiful ceilings they had and how beautiful the stone walls looked.",all-3 ch-1 mgt-2
"Their are tour guides if you wish, but not for free.",all-3 amn-3
"However, it was fairly expensive to get in, and pretty underwhelming inside.",all-2 amn-2
"Yes this place is definitely worth a good look just for the history attached alone, it might also be prudent to go with a guided tour or bring a good book to bring this place alive before it gets too touristy, and yes there is is the obligatory souvenir shop which is quite reasonably priced for now....!",all-1 amn-1 ch-1
"That's a bout it , real waste of time .",all-2
Food and water are at hiked up prices!,all-2 amn-2
"Changdeokgung Palace (￦3,000 per adult) is one of the Five Royal Palaces built during the Joseon Dynasty and another important UNESCO World Heritage attraction you can visit in Seoul.",all-1 ch-1
The gardens are unkempt and overgrown and many of buildings are in complete disrepair.,all-2 nat-2 mgt-2 ch-2
"There is free tram car ride on the eastern gate straight to the museum, which was interesting.",all-1 amn-1
"First of all, the museum is not really tourist-friendly, There is no audio-guide, explanation signs are few and far between and, the most disconcerning, there are only three English tours a day with quite long waiting time in between.",all-2 amn-2 mgt-2
Unfortunately we were only able to visit here for one hour as it was part of a bus trip but I’m sure you could spend at least a full day here as it’s quite a big site.,all-3
However apparently there are also tickets for tourists and at tourist price.,all-0
"They only thing that was upsetting was seeing that a lot of the buildings had been destroyed by war (and natural disaster, but mostly war).",all-2 ch-2
The secret garden area is also a great visit and worth the extra money.,all-1 nat-1
This was an unexpectedly great experience for us.,all-1
We are very pleased with what we learn.,all-1
I wish we would have allotted more time to explore.,all-3
The Citadel and imperial city was heavily destroyed by US bombs - what is left only makes you hungry to be able to see the original size & colours.,all-3 ch-3
"Bigger than first expected and so much to see inside, spending a few hours walking around here was great as the grounds are fantastic with many different buildings to see.",all-1 ch-1
Disappointing: It is only at the exit that they tell you free shuttle cars can drive you around so ask the driver that are lazing around (not sure which colour) if they are free.,all-3 amn-3 mgt-1
She was dressed in a bright and colorful Hanbok (I think so it's easier for us to spot her) and brought around a small microphone but we still strained to hear what she was talking about.,all-2 amn-2 ppl-2
Waste of time and money.,all-2 amn-2
"Not well maintained, some sites are overrated.",all-2 mgt-2
I have really enjoyed the visit of the citadel.,all-1
I really enjoyed this attraction.,all-1
"I went with a Hanbok I had rented from OneDay Hanbok, so I was able to get in for free (but you still have to pay for the secret garden tour even if you are wearing a Hanbok).",all-3 amn-3
But this was pretty disappointing.,all-2
"!no crowds,just us two and a few others to see this magnificent place,so much beauty to take in,the most remarkable woodwork,the exhibits in the buildings were truly grand,the photos of a very different era,all so very good to see,then to walk along the waterways,totally by ourselfs was really so very nice.such peace,such beauty,we will always remember this really special place,",all-1 ch-1
"It is very picturesque place though not as grand as Gyeongbukgong, it has its own beauty.",all-1
I like the citadel and the small road along the river around the huge citadel.,all-1
If you have been there you will be greatly disappointed by The Citadel.,all-2
You can see crumbled sections of the inner walls riddled with bullet holes.,all-2 ch-2
Who on earth thought that was a good idea?,all-2
"Of interest for me was that the main front gate was the Emperor only and the side gates for horses, elephants and servants.",all-1 ch-1
"What a delightful experience, even in the pouring rain.",all-3 nat-2
Stunning walks inside and outside the citadel walls - very relaxing.,all-1
The other woman was very rude and trying to scam us.,all-2 ppl-2
"The river water surrounding the Forbidden City is disgustingly dirty, sorry to say, thus I don't understand why locals can still fish there.",all-2 nat-2 mgt-2
"Not listed on Trip Advisor, I'll give a special mention here to the friendly Hong Mai restaurant on the corner of Dinh Tien Hoang and Nguyen Bieu, a ten minute stroll from the museum, which serves incredibly cheap and good quality food.",all-1 amn-1
"It should also be noted that IUCN designated the secret garden as a conservation area because of its diverse ecosystem and landscape, despite being in central Seoul.",all-1 nat-1
Standing on the foundation platforms of the Forbidden Palace and looking out at the destruction--just empty grass fields remain-- is a stark reminder of the intense fighting that took place in Hue and the great loss of life in the surrounding areas.,all-2 ch-2 nat-2
Stop and watch the video to get an idea of how the citadel was built and how the emperors lived within.,all-1 amn-1 ch-1
It felt like we were seeing much of the same from what we saw prior in China and Japan.,all-2
There is plenty to walk around and see here - like the ponds with hundreds of Koi Carp which you can feed for 5k Dong ( it's quite a spectacle as they clamber over each other for the food pellets).,all-1 amn-1 nat-1
"The Palace looks like Chinese but cheap, it is small and low like few other things in Korea.",all-3 ch-2 amn-1
We had a very good experience with our tour guide Binh thru VM travel services.,all-1 amn-1 ppl-1
"The garden paths are up and down, so it’s better to wear comfortable shoes!!",all-0
"We were able to see both palaces, the garden and the shrine in one day with a bit of planning on the tours.",all-0
"The site shows the relationship of emperor, military, and mandarin.",all-1 ch-1
Try feeding the fish - they will go crazy (the fish food costs 5000VND)!,all-1 amn-1
"Ample facilities inside but take some water, it gets hot.",all-3 amn-1 nat-2
"This palace comprises many different buildings and squares, all very photogenic.",all-1 ch-1
There is very little shade so make sure to bring loads of water and sun cream.,all-2 nat-2 mgt-2
Pity the French forces destroyed most of it,all-2 ch-2
Loved hearing the tour guide explain about the library and pond and pavillions built for the various views.,all-1 amn-1 ppl-1
This is quite a large complex which we didn't particularly enjoy there really isn't anything exceptional here having said that if you are in hue you might as well visit .,all-2
An excellent video adds even more context.,all-1 amn-1
Beautiful experience walking and exploring the citadel.,all-1
"Beautiful architecture, lots of space and quiet to wander around, and stunning scenery.",all-1 ch-1 nat-1
The entrance and first couple buildings are beautiful - setting up high expectations for the rest of the citadel.,all-1 ch-1
Pick up the free map included with your ticket at the ticket counter and plan accordingly to ensure you cover everything in this Citadel as there is so much to look for.,all-1 amn-1
Those who watch alot of korean drama should at least visit this place for once.,all-1
"It’s like a time travel for her, and she can’t stop telling me the whole plot of the story where the scene was shoot on the very ground where we were standing on....all I have to do is agree to all of it.",all-1 ppl-1
Unfortunately a lot of it had been destroyed in the French and American wars so not many of the original buildings are still there.,all-2 ch-2
Its worth a visit to the Changdeokgung Palace when you are in Seoul.,all-1
A lot of buildings destroyed during the war.,all-2 ch-2
You can only visit this garden once inside the changdeokgung palace.,all-0
"Bad maintained, unorganized, very touristic, unfriendly staff, expensive and boring.",all-2 amn-2 mgt-2 ppl-2
"The tour guides did a great job of explaining the little details that you might overlook; for example, I would never have guessed that the larger doorways were only for the emperor, while the smaller doorways were for the government officials and others - using those smaller doorways required the individuals to ""bow"" as the entered.",all-1 amn-1 ppl-1 ch-1
"Worth a visit and to the secret garden, probably best with a tour guide.",all-1 nat-1 amn-1
I know you can book online but somehow it wouldn't work on my phone nor iPad.,all-2 amn-2
There are a lot of people who do this tour so I would suggest one to be early as they are punctual.,all-0
We enjoyed the Cidadel and got some great family photos.,all-1
"This horse was close to death and probably needed to be put down, If you care about animals or have any sense of empathy, please don't go here and give these people your money.",all-2 mgt-2
If you visit the palace better to have a guide with you to explain the details and history of this palace.,all-1 amn-1 ch-1
Very interesting with a local guide and very nice to see the renovations in the Forbidden Purple City.,all-1 amn-1 mgt-1 ppl-1
The place is huge and is very beautiful.,all-1
"It contains Seoul's oldest stone bridge along with a throne hall, royal office and a wonderful secret garden.",all-1 ch-1 nat-1
No too many authentic places left around here - so much has been destroyed by bombings during the war.,all-2 ch-2
There is even an Imperial Tennis Court used by the late Emperor who apparently had an interest in Western sports.,all-1 ch-1
"Our Hotel ( Hyatt regency Resort and Spa Danang) organised a driver and a English speaking tour guide , starting from our hotel we were taken via the mountain route via a 21km scenic road stopping on the way for some photo opportunities and also indicating some of the historical parts including some of the '65 war where the American & their allies had setup bunkers, radio towers and other offensive mechanisms necessary.",all-1 amn-1 ch-1
"Outside walking around the grounds was pretty disappointing too, almost derelict with crumbling steps, statues and overgrown grass, as this area was once a battle ground back in '68 during the Tet offensive it's no wonder the place looks kinda war weary as a large group of Vietcong held out here for two months against all the odds, before the inevitable conclusion by the Americans.",all-2 ch-2 nat-2 mgt-2
It has an extensive history dating back to the early 1800's however some of the buildings inside the complex have been destroyed by bombs.,all-3 ch-3
I spent a very happy 3hours wandering around and just enjoying the sheer beauty of the place.,all-1
"We didnt go into the secret garden, but we felt there was enough to see without booking the extra ticket and partly because you do have to reserve a place for the secret garden tour.",all-0
"However, it isn't 100% wheelchair accessible, so for the parts where we had to climb steep stairs, we took turns going to see whatever there was to see.",all-2 mgt-2
There is only a vendor serving 2 minute noodles and snack food... We were very disappointed with this.,all-2 amn-2
This is a great place to visit.,all-1
It would be more meaningful to go with the guides (since you paid for it) as he/she will do some explanation of the different points and the history of buildings.,all-1 amn-1 ch-1
Some impressive buildings and it's a great feeling to walk around freely through the whole complex.,all-1 ch-1
"Very impressive, colourful, well maintained, and beautiful buildings, Lots to explore, info are available.",all-1 ch-1 mgt-1
It was bloody hot when i was there so i didnt have much patience.,all-2 nat-2
"Take a day to go round slowly (the heat means you need to take rests), take plenty of water as the
price of bottles inside the walls is ridiculously high.",all-2 amn-2 nat-2
The visit was amazing and very interesting thanks to Hong’s knowledge and conversation style.,all-1 ppl-1
"Many of the buildings here were open for display, so you can see what the rooms looked like.",all-0
"I went in the morning so it was very empty to begin with, I could take my time and I enjoyed the luxury of fewer people in all my photos.",all-0
I guess the only problem about my tour of this place was that the guide didn't speak very good English.,all-2 amn-2 ppl-2
"There are two coffeeshops located in the palace, one in the garden and the other behind the throne room.",all-0
The complex covers many acres where elephants seem to be the lawn mowers.,all-1 nat-1
We had a lovely english tour guide but the secret garden is nothing I haven't seen before and it can be hard for some people to walk up the steep hill.,all-3 amn-1 ppl-1 nat-2 mgt-2
"The entrance was shrouded with tarps and frames, as it is being repaired.",all-3 ch-2 mgt-1
"I should mention that before you start the tour, you should head to the toilet because there are no others in the area save for the one at the souvenir shop near the entrance.",all-2 mgt-2
Changdeokgung palace is one of the most beautiful palace complex in Seoul.,all-1
Food is quite expensive inside.,all-2 amn-2
"Suprise after got the entry ticket, nooothiiing to visit there, we were very disappointed.",all-2
It’s a shame so much of it was destroyed in the worthless war.,all-2 ch-2
You can get in free on your ticket.,all-1 amn-1
"Despite the crowd herded through this way the extensive gardens, pavilions, lakes and so on were beautiful and worth the extra time and expense.",all-1 nat-1 ch-1
It’s mainly just flat grassy fields.,all-0
The restoration of this magnificent place is progressing well and we were able to see so much more this time.,all-1 mgt-1
He was really lovely the whole way taking us to some amazing places and even telling us the good fortunes we would be having next year.,all-1 ppl-1
We had a lovely afternoon walking around the Imperial City.,all-1
"We really loved our visit here, definitely up with one of the best visits we have made in Hue.",all-1
"It was beautiful,serene and made me feel totally peaceful.",all-1
Great event with many Korean people in traditional dress (understood that provides them free entrance).,all-1 ch-1
"This was not worth the 150,000VND.",all-2 amn-2
"My tour guide then constantly hinted at a tip which ruined the experience for me, as I felt I had already paid too much.",all-2 amn-2 ppl-2
We walked through this supposed sacred grounds that was covered in garbage and had parents letting their kids pee up the walls.,all-3 ch-1 mgt-2 ppl-2
"It's a shame that so much of the citadel was ruined by the Americans during the war, so there aren't that many buildings there now.",all-2 ch-2
It is the Unesco site but very boring.,all-3 ch-1
"You can purchased the tour guide service for VND150,000 at the counter.",all-1 amn-1
"Personally I think this is really worth the time (maybe I’m not a shopping freak), but must with the guide so that you know what is why the palace was constructed in such a way.",all-1 amn-1 ch-1
There are poster boards that give you a bit of history in English so tour guide not necessary.,all-1 amn-1 ch-1
"we know this palace from rooftop prince, one of korean drama.there was not many tourist visit this palace.",all-0
Not well maintained (grass is dry) and plenty more interesting and beautiful places to visit while in hue.,all-3 nat-2 mgt-2
"I was able to witness the changing of the guard, and partook in the tea and traditional sweets in the Sujong room.",all-1 ch-1
"My husband is disabled, so we opted to use the electric buggy service to get around the Citadel.",all-1 amn-1 mgt-1
Unfortunately the damage inflicted by the Viet Cong & American War was catastrophic and very little of the original buildings remain.,all-2 ch-2
Lots to learn about and the architecture is pretty impressive!,all-1 ch-1
I found there was VERY limited information available at the sites unless you paid extra for a guide or the audio guide which was frustrating when it was already expensive to gain entry.,all-2 amn-2
"And in the end, you found A TENNIS COURT, in the middle of the citadel (this one was in really good condition).",all-1 ch-1 mgt-1
"Wow great place to see, very big palace etc.",all-1
We would highly recommend visiting this attraction.,all-1
"Sadly, much damage was done during past wars and although a UNESCO site the rate of restoration is painfully slow; this is sad because it could prove a tremendous attraction for visitors to Vietnam.",all-3 ch-3 mgt-2
I love its architecture and the Hue's food as well.,all-1 amn-1 ch-1
There were some interesting buildings and the Fine Art Museum was good.,all-1 ch-1
We really enjoyed visiting this fascinating place.,all-1
There are cafe facilities and adequate toilet facilities.,all-1 amn-1 mgt-1
"It's pretty much destroyed and although they are renovating it, there is still a lot of work to do.",all-3 ch-2 mgt-1
Most of it is quite disapointing because there is not much to see.,all-2
"Here, We dressed Hando and take beautiful pictures.",all-1 ch-1
"It contains the palaces that housed the imperial family, as well as shrines, gardens, and villas for mandarins.",all-1 ch-1
"Many of the building were destroyed during the American war, on other building you can still find the bullet holes.",all-2 ch-2
Lots of people walking around wearing Hanbok which adds to the atmosphere.,all-1 ch-1
Such a shame that this was so damaged during the war.,all-2 ch-2
Despite this the city itself was fantastic and a lot bigger than i had imagined with lots to see.,all-1
"recommendations : sun cream is a must only if it is sunny, definitely bring a lot of water because it is very expensive to buy any beverages or food.",all-2 amn-2 nat-2
The theatre is amazing and there is a lot of historic information that is available.,all-1 ch-1
The authorities have done an excellent job of preserving the whole buildings very well with very well placed signs for tourists.One can hire guides and listen to the history.They also have head sets for translations.,all-1 ch-1 mgt-1 amn-1
"Between Gyeonbokgung (the large main palace in Seoul at the city center) and this palace, I MUCH preferred Changdeokgung.",all-1
"It's huge and it's awesome with LOTS to see, so give it some of your time while in Hue.",all-1
"There are a few shops with water for a decent, but touristy price and there were free restrooms at regular intervals.",all-3 amn-3 mgt-1
The Imperial City in Hue used to be the former capital of Vietnam.,all-1 ch-1
"went there specifically for the renowned Secret Garden sights end of March, the cherry blossom season.",all-1 nat-1
Audio guide was good but a bit repetitive.,all-3 amn-3
The majority of the buildings were either damaged or destroyed bar the many wars in the country.,all-2 ch-2
"We spent half a day and enjoyed it very much, so much to see at such a big place.",all-1
"It is such a pity that so much of it was destroyed in the war, particularly during the 1968 Tet Offensive.",all-2 ch-2
We found Hue the most annoying city in Vietnam for harassing the tourists when trying to sell stuff.,all-2 ppl-2
I was really impressed by the Imperial City.,all-1
"It was very cold - 10 Celsius, and the Airport even provided free down parkas.",all-3 nat-2 amn-1
Sad because of the extent of destruction.,all-2 ch-2
It was badly damaged in both wars/ and with money and time is being rebuilt.,all-3 ch-2 mgt-1
Great to walk around and enjoy this amazing historical site.,all-1 ch-1
"For the price you pay you would think they would maintain the grounds or even cut the grass, was ok but wouldn't spend too long here unless you get a tour guide so you know more info",all-2 amn-2 mgt-2 nat-2
They pointed down the road back the way we had come and we should go 'straight on'.,all-0
"Hit this temple first and buy the 10000 won combination ticket (about $10) If you only have one day in Seoul these palaces, with lunch in insadong (between all of them), and a visit to the temple (right next door) are all you need...but it will be a long day!",all-0
We spent the best part of an afternoon wandering around The Citadel despite the rain and it was fantastic.,all-3 nat-2
Free activities included the Royal Palace Museum and 10.00 changing of the guard parade.,all-0
Bring some food and lots of water if you are going in the morning.,all-0
Buying tickets is a little confusing (or at least it was for us!).,all-2 amn-2
I really felt like I was in China.,all-0
"Unfortunately, due to natural disasters and wars, most of it is in ruins and therefore there is not as much to see as I would have hoped.",all-2 ch-2
Wow it was beautiful and of course a lot cooler temperature wise.,all-1 nat-1
"IMPORTANT NOTE: if you are walking to the citadel all of the bridges allowing you to get in have no sidewalks, dont worry you are actually allowed to walk across the road (this being VN where anything goes).",all-1 mgt-1
Kings House (Free entry).,all-1 amn-1
"Museum of Contemporary Art is also on site, and the entrance fee for both attractions is very cheap.",all-1 amn-1
We also go to see the countryside which was absolutely beautiful.,all-1 nat-1
Lots of history to discover and wonderful people to see on the way.,all-1 ch-1 ppl-1
"First of all, palaces in Seoul aren't something spectacular nor in fantastic sceneries.",all-2
"So, be careful of the ice cream and water stand that is just past the temple and the wc (The one with umbrellas over the seating area)- they will definitely price gouge.",all-2 amn-2
"When you go here, you should definitely get a ticket to see the Biwon Secret Garden.",all-1 amn-1 nat-1
It is similar to the Forbidden City of Beijing in China.,all-0
Definitely the best part for me was an artist selling his amazing paintings at one of the (MANY) gift shops.,all-1 amn-1
"This palace is not the largest, but I would say prettiest as it contains the ""secret"" garden of the court.",all-3 nat-1
The lawns was overgrown with tall grass.,all-2 nat-2 mgt-2
"You will pay 9,000 won to gain entry to all 3 and it's worth it.",all-1
"If one is keen to see this ""Secret Garden"" then advanced booking is best.",all-1 amn-1
"There are places to get a bite to eat or a cold drink, and wandering the more overgrown areas really gives you a better flavor of this extensive site.",all-1 amn-1 nat-1
"A great visit, we were offered this as an optional add on to our tour.",all-1 amn-1
#HueCity #Vietnam #Travel #Foodie,all-0
"To be honest I went to Hue for the food, which was great, and to escape the Canadian winter, a great decision even in Hue's rainy December climate.",all-3 amn-1 nat-2
The gardens surrounding the library were absolutely stunning and it was a wonderful place to rest and cool down.,all-1 nat-1
"While hearing the tour guide commentary was difficult at times, we did get the chance to see some striking pavilions by pools and walk along tree-lined paths that really made my day.",all-3 amn-2 ppl-2 ch-1 nat-1
The 2nd time was the University graduation intern.,all-0
I really recommend to book ahead for this tour.,all-1
"Great views, splendid architecture, and lot of beautiful sights.",all-1 ch-1
"I don't recommend this place on a rainy day as the red tiles that many of the paths are paved with are very slippery, it also gets very muddy so it's not the nicest in bad weather.",all-2 mgt-2
You can take a cyclo ride around the streets which is a great way to see the local life.,all-1 amn-1
"What a great experience this was,it took us a whole day to explore and we were'nt disappointed.",all-1
The other horses weren't much better and these people shouldn't be allowed to abuse and torture animals for their own gain.,all-2 mgt-2
"Definitely not worth the money, especially when there is reconstruction.",all-3 amn-2 mgt-1
A lot of the Koreans were also walking around taking photos in their traditional outfits as one gets free entrance wearing the traditional Hancock.,all-1 amn-1
It was sad to see how much of the palace was destroyed during the war so much of it is in ruins/neglected.,all-2 ch-2
A great guide took us around this great place.,all-1 amn-1 ppl-1
It should be the no.1 thing to do in Seoul!,all-1
It is a salutary reminder of a terrible time which included the destruction of a large section of the royal buildings ...,all-2 ch-2
"Very glad we went here, it's much larger and comprehensive than we imagined.",all-1
The palace buildings are decorated with intricate designs that shouldn’t be overlooked.,all-1 ch-1
"It's not really a garden, more a forest that has hidden spots within it.",all-0
One of the electric bus tours might be a good idea because there's a lot of walking involved,all-1 amn-1
"the translated guided tour is free of charge, and the guide was knowledgeable.",all-1 amn-1 ppl-1 
"Also, the guides dictate, verbatim, what is in the pamphlet they hand you when you buy your tickets, so you could easily have a much more enjoyable self-guided tour on your own schedule.",all-2 amn-2 ppl-2
"It shows the style of Korean last dynasty at is splendor. Do not miss the ""Secret garden"": you need to make a reservation in advance and you can choose between English, Japanese and Korean guide: it worth it because the guide gives a lot of information about the way life was in those gone days.",all-1 amn-1 ch-1 nat-1
The moat outside the citadel is gorgeous.. the buildings within the citadel are beautiful and walkways are just so nice.,all-1 ch-1
I think I personally missed the fun part of this palace,all-2
We needed to get from Hoian to Phong Nha Ke and used the transfer services of VM Travel in Hue.,all-1 amn-1
A great place and some wonderful sights and food.,all-1 amn-1
"If given a chance, secret garden tour is a must to visit where it was once a secret recreation place for the royalty.",all-1 nat-1 ch-1
Clean comfort room.,all-1 amn-1
"Along with the palaces are temples and lovely ponds, and a tennis court built by the last king!",all-1 ch-1 nat-1
I would recommend getting an audio guide and listening to the areas that seem interesting to you to get a little more out of your visit.,all-1 amn-1
"The entrance fee was also not so high from the European standard, but we enjoyed half day there",all-1 amn-1
I’d premise this with the fact it was an exceptionally hot and humid day we visited Changdeokgung palace which definitely impacted our enjoyment.,all-2 nat-2
